month,total_amount,invoice_count
2020-01,167027,681
2020-02,152198,621
2020-03,115531,473
2020-04,94812,418
2020-05,102975,433
2020-06,113093,453
2020-07,106533,411
2020-08,88605,380
2020-09,131818,543
2020-10,132453,544
2020-11,130449,530
2020-12,90950,382
2021-01,122182,486
2021-02,96654,410
2021-03,101155,410
2021-04,96184,379
2021-05,104034,446
2021-06,115643,458
2021-07,93957,390
2021-08,93678,374
2021-09,157136,650
2021-10,147593,592
2021-11,146814,624
2021-12,120584,507
2022-01,149693,613
2022-02,142150,605
2022-03,120273,492
2022-04,118568,459
2022-05,131037,516
2022-06,121175,494
2022-07,123758,507
2022-08,133252,577
2022-09,180835,723
2022-10,169324,689
2022-11,159601,684
2022-12,122213,505
2023-01,163774,693
2023-02,150692,617
2023-03,138614,577
2023-04,120378,504
2023-05,164445,677
2023-06,139375,615
2023-07,133224,549
2023-08,138325,557
2023-09,160212,654
2023-10,175667,685
2023-11,168633,691
2023-12,138437,568
