date,appointments_x,unique_patients,unique_doctors,avg_complexity,doctor_load,estimated_wait_minutes,day_of_week_x,appointments_y,booked_doctors,scheduled_doctors,available_doctors,on_leave_doctors,total_doctors,workload_score_x,doctor_utilization_rate,day_of_week_y,appointments,workload_score_y,scheduled_nurses,assigned_nurses,available_nurses,on_leave_nurses,total_nurses,nurse_utilization_rate,total_beds,occupied_beds,available_beds,reserved_beds,bed_occupancy_rate
2020-01-01,28,28,10,1.4178571428571427,2.8,56.4,Wednesday,28,7,11,9,2,22,40.0,0.636,Wednesday,28,45.7,23,23,0,3,34,1.0,48,34,14,3,0.708
2020-01-02,17,17,8,1.3235294117647058,2.12,44.5,Thursday,17,5,10,9,2,22,26.1,0.5,Thursday,17,28.2,19,15,4,3,34,0.789,48,35,13,3,0.729
2020-01-03,24,23,11,1.375,2.18,51.5,Friday,24,6,12,10,2,22,34.1,0.5,Friday,24,40.5,19,19,0,3,34,1.0,48,36,12,3,0.75
2020-01-04,18,18,7,1.4944444444444445,2.57,55.7,Saturday,18,5,9,8,0,22,29.9,0.556,Saturday,18,28.0,21,18,3,1,34,0.857,48,32,16,3,0.667
2020-01-05,13,13,5,1.4230769230769231,2.6,55.0,Sunday,13,4,8,7,2,22,20.7,0.5,Sunday,13,20.9,18,14,4,3,34,0.778,48,29,19,3,0.604
2020-01-06,27,26,10,1.488888888888889,2.7,56.0,Monday,27,7,10,8,1,22,39.7,0.7,Monday,27,44.4,23,23,0,4,34,1.0,48,33,15,3,0.688
2020-01-07,20,19,8,1.405,2.5,57.6,Tuesday,20,5,9,8,2,22,30.0,0.556,Tuesday,20,29.1,20,20,0,2,34,1.0,48,35,13,3,0.729
2020-01-08,35,34,12,1.337142857142857,2.92,61.0,Wednesday,35,9,12,9,2,22,55.1,0.75,Wednesday,35,54.9,25,25,0,1,34,1.0,48,32,16,2,0.667
2020-01-09,21,21,8,1.2714285714285714,2.62,47.8,Thursday,21,6,10,9,1,22,30.6,0.6,Thursday,21,33.8,21,21,0,4,34,1.0,48,29,19,2,0.604
2020-01-10,29,29,9,1.4000000000000001,3.22,46.1,Friday,29,8,11,9,0,22,42.8,0.727,Friday,29,48.0,24,24,0,3,34,1.0,48,34,14,2,0.708
2020-01-11,23,22,10,1.4260869565217391,2.3,47.1,Saturday,23,6,11,9,2,22,33.0,0.545,Saturday,23,36.5,22,22,0,3,34,1.0,48,36,12,3,0.75
2020-01-12,9,9,5,1.4666666666666666,1.8,51.6,Sunday,9,3,7,7,1,22,11.7,0.429,Sunday,9,15.1,17,8,9,3,34,0.471,48,35,13,4,0.729
2020-01-13,24,24,10,1.5208333333333333,2.4,49.9,Monday,24,6,11,9,2,22,33.9,0.545,Monday,24,34.7,23,23,0,1,34,1.0,48,33,15,3,0.688
2020-01-14,33,33,11,1.3151515151515152,3.0,57.3,Tuesday,33,9,11,8,2,22,47.5,0.818,Tuesday,33,51.2,25,25,0,1,34,1.0,48,33,15,3,0.688
